{'imei': '305504094512937', 'imsi': '305504094512937', 'ses_id': '00121', 'mac': '9A:D7:6A:47:CD:61', 'relation': 'r40', 'type': 'Victima', 'date_simulator': '2017-12-03 09:19'}
{'imei': '975261642135757', 'imsi': '975261642135757', 'ses_id': '00122', 'mac': '87:1D:31:F0:01:39', 'relation': 'r40', 'type': 'Agresor', 'date_simulator': '2017-12-03 09:19'}
{'imei': '537256555922146', 'imsi': '537256555922146', 'ses_id': '00123', 'mac': '2E:8D:94:32:DF:83', 'relation': 'r40', 'type': 'Policia', 'date_simulator': '2017-12-03 09:19'}
{'imei': '297157906203393', 'imsi': '297157906203393', 'ses_id': '00124', 'mac': 'AA:08:9E:81:59:E8', 'relation': 'r41', 'type': 'Victima', 'date_simulator': '2017-12-03 09:19'}
{'imei': '156235976152878', 'imsi': '156235976152878', 'ses_id': '00125', 'mac': '0D:23:D5:BE:33:BB', 'relation': 'r41', 'type': 'Agresor', 'date_simulator': '2017-12-03 09:19'}
{'imei': '920599699474964', 'imsi': '920599699474964', 'ses_id': '00126', 'mac': '7E:C5:D4:88:D1:E7', 'relation': 'r41', 'type': 'Policia', 'date_simulator': '2017-12-03 09:19'}
{'imei': '259699793332719', 'imsi': '259699793332719', 'ses_id': '00127', 'mac': 'F7:75:F5:B9:2C:AF', 'relation': 'r42', 'type': 'Victima', 'date_simulator': '2017-12-03 09:19'}
{'imei': '193819527558456', 'imsi': '193819527558456', 'ses_id': '00128', 'mac': '26:D4:90:EF:8B:45', 'relation': 'r42', 'type': 'Agresor', 'date_simulator': '2017-12-03 09:19'}
{'imei': '728432780781189', 'imsi': '728432780781189', 'ses_id': '00129', 'mac': 'EA:CC:AB:3A:30:E2', 'relation': 'r42', 'type': 'Policia', 'date_simulator': '2017-12-03 09:19'}
{'imei': '750738433762067', 'imsi': '750738433762067', 'ses_id': '00130', 'mac': 'D0:0F:75:E8:AC:B4', 'relation': 'r43', 'type': 'Victima', 'date_simulator': '2017-12-03 09:19'}
{'imei': '257287649560850', 'imsi': '257287649560850', 'ses_id': '00131', 'mac': '7A:3D:66:34:FF:FA', 'relation': 'r43', 'type': 'Agresor', 'date_simulator': '2017-12-03 09:19'}
{'imei': '441349847064201', 'imsi': '441349847064201', 'ses_id': '00132', 'mac': 'A3:5C:B3:E0:C9:04', 'relation': 'r43', 'type': 'Policia', 'date_simulator': '2017-12-03 09:19'}
{'imei': '369301103272269', 'imsi': '369301103272269', 'ses_id': '00133', 'mac': 'C9:A7:57:AA:2C:97', 'relation': 'r44', 'type': 'Victima', 'date_simulator': '2017-12-03 09:19'}
{'imei': '631902537396789', 'imsi': '631902537396789', 'ses_id': '00134', 'mac': '2B:A2:AA:C5:C2:29', 'relation': 'r44', 'type': 'Agresor', 'date_simulator': '2017-12-03 09:19'}
{'imei': '655791716562859', 'imsi': '655791716562859', 'ses_id': '00135', 'mac': '51:31:9B:56:5E:B9', 'relation': 'r44', 'type': 'Policia', 'date_simulator': '2017-12-03 09:19'}
{'imei': '821732827006123', 'imsi': '821732827006123', 'ses_id': '00136', 'mac': '67:47:3C:D4:88:62', 'relation': 'r45', 'type': 'Victima', 'date_simulator': '2017-12-03 09:19'}
{'imei': '603599512362147', 'imsi': '603599512362147', 'ses_id': '00137', 'mac': '23:7E:49:89:9A:02', 'relation': 'r45', 'type': 'Agresor', 'date_simulator': '2017-12-03 09:19'}
{'imei': '198203013800365', 'imsi': '198203013800365', 'ses_id': '00138', 'mac': '7D:7A:C3:42:98:9A', 'relation': 'r45', 'type': 'Policia', 'date_simulator': '2017-12-03 09:19'}
{'imei': '368579559816092', 'imsi': '368579559816092', 'ses_id': '00139', 'mac': '46:EB:C5:DE:74:DA', 'relation': 'r46', 'type': 'Victima', 'date_simulator': '2017-12-03 09:19'}
{'imei': '892891049717274', 'imsi': '892891049717274', 'ses_id': '00140', 'mac': 'C6:36:FB:76:9C:15', 'relation': 'r46', 'type': 'Agresor', 'date_simulator': '2017-12-03 09:19'}
{'imei': '543747400861955', 'imsi': '543747400861955', 'ses_id': '00141', 'mac': 'F4:78:BE:3E:41:A1', 'relation': 'r46', 'type': 'Policia', 'date_simulator': '2017-12-03 09:19'}
