Vic_date,Agre_date,dateStore
2019-02-19 17:55:19.467226,2019-02-19 17:55:19.237063,2019-02-19 17:55:19.997986
2019-02-19 17:55:19.469509,2019-02-19 17:55:19.237525,2019-02-19 17:55:20.008533
2019-02-19 17:55:19.465552,2019-02-19 17:55:19.236444,2019-02-19 17:55:20.009213
2019-02-19 17:55:19.466087,2019-02-19 17:55:19.235318,2019-02-19 17:55:20.009718
2019-02-19 17:55:19.474889,2019-02-19 17:55:19.241723,2019-02-19 17:55:20.010223
2019-02-19 17:55:19.471167,2019-02-19 17:55:19.242689,2019-02-19 17:55:20.010742
2019-02-19 17:55:19.468590,2019-02-19 17:55:19.238567,2019-02-19 17:55:20.011229
2019-02-19 17:55:19.475555,2019-02-19 17:55:19.245253,2019-02-19 17:55:20.037840
2019-02-19 17:55:19.472483,2019-02-19 17:55:19.243741,2019-02-19 17:55:20.038656
2019-02-19 17:55:19.470685,2019-02-19 17:55:19.239526,2019-02-19 17:55:20.039149
2019-02-19 17:55:19.472915,2019-02-19 17:55:19.240000,2019-02-19 17:55:20.039640
2019-02-19 17:55:19.469089,2019-02-19 17:55:19.240478,2019-02-19 17:55:20.040136
2019-02-19 17:55:19.485692,2019-02-19 17:55:19.255190,2019-02-19 17:55:20.106827
2019-02-19 17:55:19.472044,2019-02-19 17:55:19.239042,2019-02-19 17:55:20.107664
2019-02-19 17:55:19.479217,2019-02-19 17:55:19.244701,2019-02-19 17:55:20.108151
2019-02-19 17:55:19.481695,2019-02-19 17:55:19.248125,2019-02-19 17:55:20.108633
2019-02-19 17:55:19.475966,2019-02-19 17:55:19.244228,2019-02-19 17:55:20.109145
2019-02-19 17:55:19.477848,2019-02-19 17:55:19.246197,2019-02-19 17:55:20.109752
2019-02-19 17:55:19.494169,2019-02-19 17:55:19.256865,2019-02-19 17:55:20.110233
2019-02-19 17:55:19.486956,2019-02-19 17:55:19.251772,2019-02-19 17:55:20.110726
2019-02-19 17:55:19.484683,2019-02-19 17:55:19.252608,2019-02-19 17:55:20.111208
2019-02-19 17:55:19.481273,2019-02-19 17:55:19.248608,2019-02-19 17:55:20.111685
2019-02-19 17:55:19.476847,2019-02-19 17:55:19.242204,2019-02-19 17:55:20.112166
2019-02-19 17:55:19.478737,2019-02-19 17:55:19.246711,2019-02-19 17:55:20.112644
2019-02-19 17:55:19.487810,2019-02-19 17:55:19.256446,2019-02-19 17:55:20.113143
2019-02-19 17:55:19.484265,2019-02-19 17:55:19.252185,2019-02-19 17:55:20.113627
2019-02-19 17:55:19.489643,2019-02-19 17:55:19.251355,2019-02-19 17:55:20.114119
2019-02-19 17:55:19.486128,2019-02-19 17:55:19.257372,2019-02-19 17:55:20.151620
2019-02-19 17:55:19.478282,2019-02-19 17:55:19.245741,2019-02-19 17:55:20.152445
2019-02-19 17:55:19.489200,2019-02-19 17:55:19.258619,2019-02-19 17:55:20.152928
2019-02-19 17:55:19.473265,2019-02-19 17:55:19.241280,2019-02-19 17:55:20.153446
2019-02-19 17:55:19.488717,2019-02-19 17:55:19.254766,2019-02-19 17:55:20.185144
2019-02-19 17:55:19.495449,2019-02-19 17:55:19.249518,2019-02-19 17:55:20.185946
2019-02-19 17:55:19.480268,2019-02-19 17:55:19.249998,2019-02-19 17:55:20.186432
2019-02-19 17:55:19.491556,2019-02-19 17:55:19.262259,2019-02-19 17:55:20.186917
2019-02-19 17:55:19.477396,2019-02-19 17:55:19.243198,2019-02-19 17:55:20.187395
2019-02-19 17:55:19.480749,2019-02-19 17:55:19.247671,2019-02-19 17:55:20.187879
2019-02-19 17:55:19.467697,2019-02-19 17:55:19.235901,2019-02-19 17:55:20.188361
2019-02-19 17:55:19.471592,2019-02-19 17:55:19.237998,2019-02-19 17:55:20.265121
2019-02-19 17:55:19.490219,2019-02-19 17:55:19.255616,2019-02-19 17:55:20.265978
2019-02-19 17:55:19.487363,2019-02-19 17:55:19.254357,2019-02-19 17:55:20.266464
2019-02-19 17:55:19.482345,2019-02-19 17:55:19.253690,2019-02-19 17:55:20.266953
2019-02-19 17:55:19.485213,2019-02-19 17:55:19.254111,2019-02-19 17:55:20.267433
2019-02-19 17:55:19.491123,2019-02-19 17:55:19.261843,2019-02-19 17:55:20.267914
2019-02-19 17:55:19.491975,2019-02-19 17:55:19.260105,2019-02-19 17:55:20.268393
2019-02-19 17:55:19.490701,2019-02-19 17:55:19.257790,2019-02-19 17:55:20.268876
2019-02-19 17:55:19.496260,2019-02-19 17:55:19.250926,2019-02-19 17:55:20.269394
2019-02-19 17:55:19.493762,2019-02-19 17:55:19.260958,2019-02-19 17:55:20.378848
2019-02-19 17:55:19.482745,2019-02-19 17:55:19.250473,2019-02-19 17:55:20.379697
2019-02-19 17:55:19.483734,2019-02-19 17:55:19.253264,2019-02-19 17:55:20.380188
2019-02-19 17:55:19.479709,2019-02-19 17:55:19.249272,2019-02-19 17:55:20.380673
2019-02-19 17:55:19.495889,2019-02-19 17:55:19.262682,2019-02-19 17:55:20.492714
2019-02-19 17:55:19.494588,2019-02-19 17:55:19.260524,2019-02-19 17:55:20.493580
2019-02-19 17:55:19.492851,2019-02-19 17:55:19.259037,2019-02-19 17:55:20.494071
2019-02-19 17:55:19.488242,2019-02-19 17:55:19.258210,2019-02-19 17:55:20.494561
2019-02-19 17:55:19.493357,2019-02-19 17:55:19.259885,2019-02-19 17:55:20.495043
2019-02-19 17:55:19.483232,2019-02-19 17:55:19.247192,2019-02-19 17:55:20.495536
2019-02-19 17:55:19.486551,2019-02-19 17:55:19.256030,2019-02-19 17:55:20.606297
2019-02-19 17:55:19.495022,2019-02-19 17:55:19.261424,2019-02-19 17:55:20.607141
2019-02-19 17:55:19.492399,2019-02-19 17:55:19.259465,2019-02-19 17:55:20.607620
2019-02-19 17:56:19.492089,2019-02-19 17:56:19.260949,2019-02-19 17:56:20.045408
2019-02-19 17:56:19.497294,2019-02-19 17:56:19.262382,2019-02-19 17:56:20.048361
2019-02-19 17:56:19.483109,2019-02-19 17:56:19.255136,2019-02-19 17:56:20.048870
2019-02-19 17:56:19.476392,2019-02-19 17:56:19.242009,2019-02-19 17:56:20.049405
2019-02-19 17:56:19.478827,2019-02-19 17:56:19.246191,2019-02-19 17:56:20.049879
2019-02-19 17:56:19.475929,2019-02-19 17:56:19.244076,2019-02-19 17:56:20.050354
2019-02-19 17:56:19.473499,2019-02-19 17:56:19.244557,2019-02-19 17:56:20.050824
2019-02-19 17:56:19.490259,2019-02-19 17:56:19.258454,2019-02-19 17:56:20.051315
2019-02-19 17:56:19.479744,2019-02-19 17:56:19.250513,2019-02-19 17:56:20.051795
2019-02-19 17:56:19.489370,2019-02-19 17:56:19.260119,2019-02-19 17:56:20.052264
2019-02-19 17:56:19.489806,2019-02-19 17:56:19.261558,2019-02-19 17:56:20.052741
2019-02-19 17:56:19.492500,2019-02-19 17:56:19.259704,2019-02-19 17:56:20.053239
2019-02-19 17:56:19.483552,2019-02-19 17:56:19.249556,2019-02-19 17:56:20.053711
2019-02-19 17:56:19.481965,2019-02-19 17:56:19.253825,2019-02-19 17:56:20.054181
2019-02-19 17:56:19.490679,2019-02-19 17:56:19.255585,2019-02-19 17:56:20.054660
2019-02-19 17:56:19.484866,2019-02-19 17:56:19.254299,2019-02-19 17:56:20.055162
2019-02-19 17:56:19.474369,2019-02-19 17:56:19.245763,2019-02-19 17:56:20.055637
2019-02-19 17:56:19.481217,2019-02-19 17:56:19.248389,2019-02-19 17:56:20.056115
2019-02-19 17:56:19.485356,2019-02-19 17:56:19.256046,2019-02-19 17:56:20.056596
2019-02-19 17:56:19.484462,2019-02-19 17:56:19.252193,2019-02-19 17:56:20.057098
2019-02-19 17:56:19.473953,2019-02-19 17:56:19.243580,2019-02-19 17:56:20.057580
2019-02-19 17:56:19.471518,2019-02-19 17:56:19.242617,2019-02-19 17:56:20.058063
2019-02-19 17:56:19.477433,2019-02-19 17:56:19.248850,2019-02-19 17:56:20.058630
2019-02-19 17:56:19.499928,2019-02-19 17:56:19.269790,2019-02-19 17:56:20.059105
2019-02-19 17:56:19.479257,2019-02-19 17:56:19.250024,2019-02-19 17:56:20.131328
2019-02-19 17:56:19.480362,2019-02-19 17:56:19.245301,2019-02-19 17:56:20.132155
2019-02-19 17:56:19.484054,2019-02-19 17:56:19.253313,2019-02-19 17:56:20.132635
2019-02-19 17:56:19.485790,2019-02-19 17:56:19.256471,2019-02-19 17:56:20.133127
2019-02-19 17:56:19.486194,2019-02-19 17:56:19.252652,2019-02-19 17:56:20.133598
2019-02-19 17:56:19.494860,2019-02-19 17:56:19.264024,2019-02-19 17:56:20.134089
2019-02-19 17:56:19.480775,2019-02-19 17:56:19.251563,2019-02-19 17:56:20.134565
2019-02-19 17:56:19.487978,2019-02-19 17:56:19.258860,2019-02-19 17:56:20.135054
2019-02-19 17:56:19.491187,2019-02-19 17:56:19.257593,2019-02-19 17:56:20.158964
2019-02-19 17:56:19.493940,2019-02-19 17:56:19.263610,2019-02-19 17:56:20.159775
2019-02-19 17:56:19.476796,2019-02-19 17:56:19.243153,2019-02-19 17:56:20.232521
2019-02-19 17:56:19.486627,2019-02-19 17:56:19.251011,2019-02-19 17:56:20.233344
2019-02-19 17:56:19.488874,2019-02-19 17:56:19.258036,2019-02-19 17:56:20.233828
2019-02-19 17:56:19.494401,2019-02-19 17:56:19.260534,2019-02-19 17:56:20.234321
2019-02-19 17:56:19.501213,2019-02-19 17:56:19.268500,2019-02-19 17:56:20.234794
2019-02-19 17:56:19.500768,2019-02-19 17:56:19.269389,2019-02-19 17:56:20.235263
2019-02-19 17:56:19.487527,2019-02-19 17:56:19.259275,2019-02-19 17:56:20.235748
2019-02-19 17:56:19.487088,2019-02-19 17:56:19.256906,2019-02-19 17:56:20.236221
2019-02-19 17:56:19.495299,2019-02-19 17:56:19.264704,2019-02-19 17:56:20.272940
2019-02-19 17:56:19.478350,2019-02-19 17:56:19.246795,2019-02-19 17:56:20.273787
2019-02-19 17:56:19.496253,2019-02-19 17:56:19.265248,2019-02-19 17:56:20.274302
2019-02-19 17:56:19.477918,2019-02-19 17:56:19.247795,2019-02-19 17:56:20.274794
2019-02-19 17:56:19.495807,2019-02-19 17:56:19.266535,2019-02-19 17:56:20.275281
2019-02-19 17:56:19.481518,2019-02-19 17:56:19.247294,2019-02-19 17:56:20.275770
2019-02-19 17:56:19.500349,2019-02-19 17:56:19.266130,2019-02-19 17:56:20.276275
2019-02-19 17:56:19.496665,2019-02-19 17:56:19.266947,2019-02-19 17:56:20.386563
2019-02-19 17:56:19.498545,2019-02-19 17:56:19.268909,2019-02-19 17:56:20.387397
2019-02-19 17:56:19.499477,2019-02-19 17:56:19.265677,2019-02-19 17:56:20.500384
2019-02-19 17:56:19.492927,2019-02-19 17:56:19.264275,2019-02-19 17:56:20.501224
2019-02-19 17:56:19.488446,2019-02-19 17:56:19.254720,2019-02-19 17:56:20.501710
2019-02-19 17:56:19.491612,2019-02-19 17:56:19.263198,2019-02-19 17:56:20.502193
2019-02-19 17:56:19.497705,2019-02-19 17:56:19.268083,2019-02-19 17:56:20.502682
2019-02-19 17:56:19.498108,2019-02-19 17:56:19.262786,2019-02-19 17:56:20.503161
2019-02-19 17:56:19.501494,2019-02-19 17:56:19.267355,2019-02-19 17:56:20.503648
2019-02-19 17:56:19.493471,2019-02-19 17:56:19.261975,2019-02-19 17:56:20.614014
2019-02-19 17:56:19.498974,2019-02-19 17:56:19.267654,2019-02-19 17:56:20.614856
2019-02-19 17:57:19.482877,2019-02-19 17:57:19.253358,2019-02-19 17:57:19.935703
