Vic_date,dateStore
2019-02-19 16:00:20.173212,2019-02-19 16:00:20.420853
2019-02-19 16:00:20.906117,2019-02-19 16:00:21.149157
2019-02-19 16:00:21.630200,2019-02-19 16:00:21.875386
2019-02-19 16:00:22.355361,2019-02-19 16:00:22.607021
2019-02-19 16:00:23.084286,2019-02-19 16:00:23.327434
2019-02-19 16:00:23.796919,2019-02-19 16:00:24.040917
2019-02-19 16:00:24.518901,2019-02-19 16:00:24.765051
2019-02-19 16:00:25.241125,2019-02-19 16:00:25.485862
2019-02-19 16:00:25.966565,2019-02-19 16:00:26.210845
2019-02-19 16:00:26.683274,2019-02-19 16:00:26.922254
2019-02-19 16:00:27.400177,2019-02-19 16:00:27.642701
2019-02-19 16:00:28.125407,2019-02-19 16:00:28.369247
2019-02-19 16:00:28.843054,2019-02-19 16:00:29.089175
2019-02-19 16:00:29.568515,2019-02-19 16:00:29.811328
2019-02-19 16:00:30.288413,2019-02-19 16:00:30.527655
2019-02-19 16:00:31.002951,2019-02-19 16:00:31.246901
2019-02-19 16:00:31.729614,2019-02-19 16:00:31.977149
2019-02-19 16:00:32.457397,2019-02-19 16:00:32.705380
2019-02-19 16:00:33.174940,2019-02-19 16:00:33.417923
2019-02-19 16:00:33.888388,2019-02-19 16:00:34.128565
2019-02-19 16:00:34.606124,2019-02-19 16:00:34.850875
2019-02-19 16:00:35.322659,2019-02-19 16:00:35.559595
2019-02-19 16:00:36.030088,2019-02-19 16:00:36.272413
2019-02-19 16:00:36.744312,2019-02-19 16:00:36.988092
2019-02-19 16:00:37.466685,2019-02-19 16:00:37.707533
2019-02-19 16:00:38.179751,2019-02-19 16:00:38.428740
2019-02-19 16:00:38.910483,2019-02-19 16:00:39.156105
2019-02-19 16:00:39.634118,2019-02-19 16:00:39.878265
2019-02-19 16:00:40.351387,2019-02-19 16:00:40.595693
2019-02-19 16:00:41.068810,2019-02-19 16:00:41.315349
2019-02-19 16:00:41.791070,2019-02-19 16:00:42.036223
2019-02-19 16:00:42.511573,2019-02-19 16:00:42.754237
2019-02-19 16:00:43.228855,2019-02-19 16:00:43.477508
2019-02-19 16:00:43.949612,2019-02-19 16:00:44.192455
2019-02-19 16:00:44.672351,2019-02-19 16:00:44.917732
2019-02-19 16:00:45.402248,2019-02-19 16:00:45.649062
2019-02-19 16:00:46.121128,2019-02-19 16:00:46.369128
2019-02-19 16:00:46.850867,2019-02-19 16:00:47.098142
2019-02-19 16:00:47.582333,2019-02-19 16:00:47.829452
2019-02-19 16:00:48.301119,2019-02-19 16:00:48.557455
2019-02-19 16:00:49.034575,2019-02-19 16:00:49.278077
2019-02-19 16:00:49.753223,2019-02-19 16:00:49.999684
2019-02-19 16:00:50.470277,2019-02-19 16:00:50.714209
2019-02-19 16:00:51.192300,2019-02-19 16:00:51.438326
2019-02-19 16:00:51.913275,2019-02-19 16:00:52.158249
2019-02-19 16:00:52.634127,2019-02-19 16:00:52.878706
2019-02-19 16:00:53.358345,2019-02-19 16:00:53.612999
2019-02-19 16:00:54.082848,2019-02-19 16:00:54.328159
2019-02-19 16:00:54.805266,2019-02-19 16:00:55.055891
2019-02-19 16:00:55.538363,2019-02-19 16:00:55.782710
2019-02-19 16:00:56.261853,2019-02-19 16:00:56.508690
2019-02-19 16:00:56.982103,2019-02-19 16:00:57.230224
2019-02-19 16:00:57.709004,2019-02-19 16:00:57.954522
2019-02-19 16:00:58.433562,2019-02-19 16:00:58.682443
2019-02-19 16:00:59.164211,2019-02-19 16:00:59.404075
2019-02-19 16:00:59.883498,2019-02-19 16:01:00.130393
2019-02-19 16:01:00.604179,2019-02-19 16:01:00.852067
2019-02-19 16:01:01.332124,2019-02-19 16:01:01.578600
2019-02-19 16:01:02.057750,2019-02-19 16:01:02.305280
2019-02-19 16:01:02.784977,2019-02-19 16:01:03.034217
2019-02-19 16:01:03.514417,2019-02-19 16:01:03.761407
2019-02-19 16:01:04.232331,2019-02-19 16:01:04.478209
2019-02-19 16:01:04.953395,2019-02-19 16:01:05.196609
2019-02-19 16:01:05.672468,2019-02-19 16:01:05.927874
2019-02-19 16:01:06.407492,2019-02-19 16:01:06.657461
2019-02-19 16:01:07.134063,2019-02-19 16:01:07.380376
2019-02-19 16:01:07.857490,2019-02-19 16:01:08.104533
2019-02-19 16:01:08.584394,2019-02-19 16:01:08.833579
2019-02-19 16:01:09.311608,2019-02-19 16:01:09.557089
2019-02-19 16:01:10.030763,2019-02-19 16:01:10.271265
2019-02-19 16:01:10.748493,2019-02-19 16:01:10.994606
2019-02-19 16:01:11.471403,2019-02-19 16:01:11.718691
2019-02-19 16:01:12.189906,2019-02-19 16:01:12.437500
2019-02-19 16:01:12.916457,2019-02-19 16:01:13.163375
2019-02-19 16:01:13.642643,2019-02-19 16:01:13.887274
2019-02-19 16:01:14.375441,2019-02-19 16:01:14.623986
2019-02-19 16:01:15.100270,2019-02-19 16:01:15.348218
2019-02-19 16:01:15.827569,2019-02-19 16:01:16.078191
2019-02-19 16:01:16.558512,2019-02-19 16:01:16.809135
2019-02-19 16:01:17.305493,2019-02-19 16:01:17.549264
2019-02-19 16:01:18.032995,2019-02-19 16:01:18.282789
2019-02-19 16:01:18.772878,2019-02-19 16:01:19.020578
2019-02-19 16:01:19.498881,2019-02-19 16:01:19.750114
2019-02-19 16:01:20.182734,2019-02-19 16:01:20.430884
2019-02-19 16:01:20.224849,2019-02-19 16:01:20.492741
2019-02-19 16:01:20.912708,2019-02-19 16:01:21.160162
2019-02-19 16:01:21.638165,2019-02-19 16:01:21.881002
2019-02-19 16:01:20.965525,2019-02-19 16:01:22.223323
2019-02-19 16:01:22.356267,2019-02-19 16:01:22.598818
2019-02-19 16:01:22.704081,2019-02-19 16:01:22.953794
2019-02-19 16:01:23.069455,2019-02-19 16:01:23.311649
2019-02-19 16:01:23.434980,2019-02-19 16:01:23.674647
2019-02-19 16:01:23.787808,2019-02-19 16:01:24.034489
2019-02-19 16:01:24.153563,2019-02-19 16:01:24.394672
2019-02-19 16:01:24.507025,2019-02-19 16:01:24.753060
2019-02-19 16:01:24.872545,2019-02-19 16:01:25.114649
2019-02-19 16:01:25.224424,2019-02-19 16:01:25.470266
2019-02-19 16:01:25.590737,2019-02-19 16:01:25.830538
2019-02-19 16:01:25.945069,2019-02-19 16:01:26.192839
2019-02-19 16:01:26.671844,2019-02-19 16:01:26.921303
2019-02-19 16:01:27.403473,2019-02-19 16:01:27.653097
2019-02-19 16:01:28.134771,2019-02-19 16:01:28.385450
2019-02-19 16:01:28.863283,2019-02-19 16:01:29.117051
2019-02-19 16:01:29.595392,2019-02-19 16:01:29.841054
2019-02-19 16:01:30.314936,2019-02-19 16:01:30.560702
2019-02-19 16:01:31.048276,2019-02-19 16:01:31.294842
2019-02-19 16:01:31.770816,2019-02-19 16:01:32.022105
2019-02-19 16:01:32.495879,2019-02-19 16:01:32.745207
2019-02-19 16:01:33.222526,2019-02-19 16:01:33.463886
2019-02-19 16:01:33.940652,2019-02-19 16:01:34.194891
2019-02-19 16:01:34.683557,2019-02-19 16:01:34.932075
2019-02-19 16:01:35.410451,2019-02-19 16:01:35.659662
2019-02-19 16:01:36.149744,2019-02-19 16:01:36.394572
2019-02-19 16:01:36.869912,2019-02-19 16:01:37.118960
2019-02-19 16:01:37.599634,2019-02-19 16:01:37.847605
2019-02-19 16:01:38.336301,2019-02-19 16:01:38.585854
2019-02-19 16:01:39.069931,2019-02-19 16:01:39.319363
2019-02-19 16:01:39.796850,2019-02-19 16:01:40.043454
2019-02-19 16:01:40.527089,2019-02-19 16:01:40.777615
2019-02-19 16:01:41.252241,2019-02-19 16:01:41.495058
2019-02-19 16:01:41.967014,2019-02-19 16:01:42.211723
2019-02-19 16:01:42.688215,2019-02-19 16:01:42.938441
2019-02-19 16:01:43.424059,2019-02-19 16:01:43.674150
2019-02-19 16:01:44.150922,2019-02-19 16:01:44.405447
2019-02-19 16:01:44.888540,2019-02-19 16:01:45.134507
2019-02-19 16:01:45.611405,2019-02-19 16:01:45.862197
2019-02-19 16:01:46.344902,2019-02-19 16:01:46.591549
2019-02-19 16:01:47.072216,2019-02-19 16:01:47.322973
2019-02-19 16:01:47.798594,2019-02-19 16:01:48.045002
2019-02-19 16:01:48.522558,2019-02-19 16:01:48.774544
2019-02-19 16:01:49.255599,2019-02-19 16:01:49.512161
2019-02-19 16:01:49.993807,2019-02-19 16:01:50.245099
2019-02-19 16:01:50.731343,2019-02-19 16:01:50.980996
2019-02-19 16:01:51.471239,2019-02-19 16:01:51.722252
2019-02-19 16:01:52.207471,2019-02-19 16:01:52.460013
2019-02-19 16:01:52.941467,2019-02-19 16:01:53.197214
2019-02-19 16:01:53.675135,2019-02-19 16:01:53.924453
2019-02-19 16:01:54.412261,2019-02-19 16:01:54.662310
2019-02-19 16:01:55.136950,2019-02-19 16:01:55.389150
2019-02-19 16:01:55.877027,2019-02-19 16:01:56.121110
2019-02-19 16:01:56.598538,2019-02-19 16:01:56.851820
2019-02-19 16:01:57.329944,2019-02-19 16:01:57.579833
2019-02-19 16:01:58.069183,2019-02-19 16:01:58.317846
2019-02-19 16:01:58.798630,2019-02-19 16:01:59.049286
2019-02-19 16:01:59.531552,2019-02-19 16:01:59.780043
2019-02-19 16:02:00.257592,2019-02-19 16:02:00.512867
2019-02-19 16:02:00.989105,2019-02-19 16:02:01.238620
2019-02-19 16:02:01.719750,2019-02-19 16:02:01.965052
2019-02-19 16:02:02.445252,2019-02-19 16:02:02.694161
2019-02-19 16:02:03.170984,2019-02-19 16:02:03.427421
2019-02-19 16:02:03.903747,2019-02-19 16:02:04.149735
2019-02-19 16:02:04.622290,2019-02-19 16:02:04.874151
2019-02-19 16:02:05.359952,2019-02-19 16:02:05.609221
2019-02-19 16:02:06.092345,2019-02-19 16:02:06.341396
2019-02-19 16:02:06.821725,2019-02-19 16:02:07.073443
2019-02-19 16:02:07.553623,2019-02-19 16:02:07.794021
2019-02-19 16:02:08.271990,2019-02-19 16:02:08.520933
2019-02-19 16:02:08.998030,2019-02-19 16:02:09.248698
2019-02-19 16:02:09.733220,2019-02-19 16:02:09.977056
2019-02-19 16:02:10.454660,2019-02-19 16:02:10.704745
2019-02-19 16:02:11.180503,2019-02-19 16:02:11.429214
2019-02-19 16:02:11.906098,2019-02-19 16:02:12.154429
2019-02-19 16:02:12.632249,2019-02-19 16:02:12.895589
2019-02-19 16:02:13.380208,2019-02-19 16:02:13.631890
2019-02-19 16:02:14.112905,2019-02-19 16:02:14.362235
2019-02-19 16:02:14.851020,2019-02-19 16:02:15.097710
2019-02-19 16:02:15.583269,2019-02-19 16:02:15.832805
2019-02-19 16:02:16.314921,2019-02-19 16:02:16.562517
2019-02-19 16:02:17.040014,2019-02-19 16:02:17.288886
2019-02-19 16:02:17.767842,2019-02-19 16:02:18.018123
2019-02-19 16:02:18.504424,2019-02-19 16:02:18.754759
2019-02-19 16:02:19.231723,2019-02-19 16:02:19.482707
2019-02-19 16:02:19.964797,2019-02-19 16:02:20.216656
2019-02-19 16:02:20.192571,2019-02-19 16:02:20.439245
2019-02-19 16:02:20.690765,2019-02-19 16:02:20.943720
2019-02-19 16:02:20.920833,2019-02-19 16:02:21.172111
2019-02-19 16:02:21.427276,2019-02-19 16:02:21.671822
2019-02-19 16:02:21.659211,2019-02-19 16:02:21.906808
2019-02-19 16:02:22.152580,2019-02-19 16:02:22.414929
2019-02-19 16:02:22.405862,2019-02-19 16:02:22.653662
2019-02-19 16:02:22.895133,2019-02-19 16:02:23.141689
2019-02-19 16:02:23.137412,2019-02-19 16:02:23.381470
2019-02-19 16:02:23.613603,2019-02-19 16:02:23.863653
2019-02-19 16:02:23.859457,2019-02-19 16:02:24.104324
2019-02-19 16:02:24.345714,2019-02-19 16:02:24.587776
2019-02-19 16:02:24.584359,2019-02-19 16:02:24.833850
2019-02-19 16:02:25.074993,2019-02-19 16:02:25.323511
2019-02-19 16:02:25.315608,2019-02-19 16:02:25.569727
2019-02-19 16:02:26.055247,2019-02-19 16:02:26.295694
2019-02-19 16:02:26.770021,2019-02-19 16:02:27.015591
2019-02-19 16:02:27.493052,2019-02-19 16:02:27.741939
2019-02-19 16:02:28.219832,2019-02-19 16:02:28.471811
2019-02-19 16:02:28.951193,2019-02-19 16:02:29.201630
2019-02-19 16:02:29.680421,2019-02-19 16:02:29.928849
2019-02-19 16:02:30.414868,2019-02-19 16:02:30.661122
2019-02-19 16:02:31.140924,2019-02-19 16:02:31.392590
2019-02-19 16:02:31.875320,2019-02-19 16:02:32.124860
2019-02-19 16:02:32.606153,2019-02-19 16:02:32.862289
2019-02-19 16:02:33.349777,2019-02-19 16:02:33.594630
2019-02-19 16:02:34.078873,2019-02-19 16:02:34.328089
2019-02-19 16:02:34.810370,2019-02-19 16:02:35.061946
2019-02-19 16:02:35.536889,2019-02-19 16:02:35.786568
2019-02-19 16:02:36.263794,2019-02-19 16:02:36.507115
2019-02-19 16:02:36.981805,2019-02-19 16:02:37.231393
2019-02-19 16:02:37.709073,2019-02-19 16:02:37.958423
2019-02-19 16:02:38.445606,2019-02-19 16:02:38.695071
2019-02-19 16:02:39.173339,2019-02-19 16:02:39.419535
2019-02-19 16:02:39.900426,2019-02-19 16:02:40.154525
2019-02-19 16:02:40.634953,2019-02-19 16:02:40.887054
2019-02-19 16:02:41.366830,2019-02-19 16:02:41.614385
2019-02-19 16:02:42.095360,2019-02-19 16:02:42.345966
2019-02-19 16:02:42.822439,2019-02-19 16:02:43.070405
2019-02-19 16:02:43.546409,2019-02-19 16:02:43.797938
2019-02-19 16:02:44.276614,2019-02-19 16:02:44.522941
2019-02-19 16:02:45.002950,2019-02-19 16:02:45.252948
2019-02-19 16:02:45.734306,2019-02-19 16:02:45.981623
2019-02-19 16:02:46.465980,2019-02-19 16:02:46.716552
2019-02-19 16:02:47.199853,2019-02-19 16:02:47.452342
2019-02-19 16:02:47.935102,2019-02-19 16:02:48.185780
2019-02-19 16:02:48.667209,2019-02-19 16:02:48.915655
2019-02-19 16:02:49.394571,2019-02-19 16:02:49.644904
2019-02-19 16:02:50.140454,2019-02-19 16:02:50.390938
2019-02-19 16:02:50.869214,2019-02-19 16:02:51.118226
2019-02-19 16:02:51.604770,2019-02-19 16:02:51.853840
2019-02-19 16:02:52.328821,2019-02-19 16:02:52.581961
2019-02-19 16:02:53.061527,2019-02-19 16:02:53.317364
2019-02-19 16:02:53.799634,2019-02-19 16:02:54.047607
2019-02-19 16:02:54.531415,2019-02-19 16:02:54.780264
2019-02-19 16:02:55.257631,2019-02-19 16:02:55.505920
2019-02-19 16:02:55.985856,2019-02-19 16:02:56.235464
2019-02-19 16:02:56.723496,2019-02-19 16:02:56.980061
2019-02-19 16:02:57.460456,2019-02-19 16:02:57.710270
2019-02-19 16:02:58.188876,2019-02-19 16:02:58.442912
2019-02-19 16:02:58.922930,2019-02-19 16:02:59.173216
2019-02-19 16:02:59.650095,2019-02-19 16:02:59.897359
2019-02-19 16:03:00.378111,2019-02-19 16:03:00.627779
2019-02-19 16:03:01.104509,2019-02-19 16:03:01.357901
2019-02-19 16:03:01.842130,2019-02-19 16:03:02.096101
2019-02-19 16:03:02.579989,2019-02-19 16:03:02.830055
2019-02-19 16:03:03.312196,2019-02-19 16:03:03.564336
2019-02-19 16:03:04.045480,2019-02-19 16:03:04.305423
2019-02-19 16:03:04.783395,2019-02-19 16:03:05.037865
2019-02-19 16:03:05.518021,2019-02-19 16:03:05.772653
2019-02-19 16:03:06.252051,2019-02-19 16:03:06.502138
2019-02-19 16:03:06.979006,2019-02-19 16:03:07.228519
2019-02-19 16:03:07.705419,2019-02-19 16:03:07.955223
2019-02-19 16:03:08.437238,2019-02-19 16:03:08.690946
2019-02-19 16:03:09.170140,2019-02-19 16:03:09.424473
2019-02-19 16:03:09.906189,2019-02-19 16:03:10.160634
2019-02-19 16:03:10.640312,2019-02-19 16:03:10.890668
2019-02-19 16:03:11.382633,2019-02-19 16:03:11.634247
2019-02-19 16:03:12.120987,2019-02-19 16:03:12.372097
2019-02-19 16:03:12.855397,2019-02-19 16:03:13.103938
2019-02-19 16:03:13.578427,2019-02-19 16:03:13.829053
2019-02-19 16:03:14.307077,2019-02-19 16:03:14.550982
2019-02-19 16:03:15.031452,2019-02-19 16:03:15.276242
2019-02-19 16:03:15.756177,2019-02-19 16:03:16.003184
2019-02-19 16:03:16.481286,2019-02-19 16:03:16.736496
2019-02-19 16:03:17.217930,2019-02-19 16:03:17.473510
2019-02-19 16:03:17.955641,2019-02-19 16:03:18.205596
2019-02-19 16:03:18.683487,2019-02-19 16:03:18.928255
2019-02-19 16:03:19.410895,2019-02-19 16:03:19.659603
2019-02-19 16:03:20.138547,2019-02-19 16:03:20.388980
2019-02-19 16:03:20.238032,2019-02-19 16:03:20.479506
2019-02-19 16:03:20.865664,2019-02-19 16:03:21.114445
2019-02-19 16:03:20.951395,2019-02-19 16:03:21.206428
2019-02-19 16:03:21.591960,2019-02-19 16:03:21.845704
2019-02-19 16:03:21.681555,2019-02-19 16:03:21.936758
2019-02-19 16:03:22.327714,2019-02-19 16:03:22.575354
2019-02-19 16:03:22.413706,2019-02-19 16:03:22.658610
2019-02-19 16:03:23.052617,2019-02-19 16:03:23.295550
2019-02-19 16:03:23.133954,2019-02-19 16:03:23.380451
2019-02-19 16:03:23.787278,2019-02-19 16:03:24.039461
2019-02-19 16:03:23.857475,2019-02-19 16:03:24.109736
2019-02-19 16:03:24.516094,2019-02-19 16:03:24.770836
2019-02-19 16:03:24.583058,2019-02-19 16:03:24.824468
2019-02-19 16:03:25.246045,2019-02-19 16:03:25.503511
2019-02-19 16:03:25.294506,2019-02-19 16:03:25.545967
2019-02-19 16:03:26.028076,2019-02-19 16:03:26.281550
2019-02-19 16:03:26.765812,2019-02-19 16:03:27.012719
2019-02-19 16:03:27.484170,2019-02-19 16:03:27.733499
2019-02-19 16:03:28.209881,2019-02-19 16:03:28.456727
2019-02-19 16:03:28.938732,2019-02-19 16:03:29.186069
2019-02-19 16:03:29.666417,2019-02-19 16:03:29.918231
2019-02-19 16:03:30.402117,2019-02-19 16:03:30.657821
2019-02-19 16:03:31.133004,2019-02-19 16:03:31.385316
2019-02-19 16:03:31.861673,2019-02-19 16:03:32.112936
2019-02-19 16:03:32.587216,2019-02-19 16:03:32.840927
2019-02-19 16:03:33.319152,2019-02-19 16:03:33.567979
2019-02-19 16:03:34.042408,2019-02-19 16:03:34.292409
2019-02-19 16:03:34.778198,2019-02-19 16:03:35.023140
2019-02-19 16:03:35.502264,2019-02-19 16:03:35.750983
2019-02-19 16:03:36.230969,2019-02-19 16:03:36.481949
2019-02-19 16:03:36.963590,2019-02-19 16:03:37.211748
2019-02-19 16:03:37.694913,2019-02-19 16:03:37.952741
2019-02-19 16:03:38.437642,2019-02-19 16:03:38.684899
2019-02-19 16:03:39.163382,2019-02-19 16:03:39.417573
2019-02-19 16:03:39.894182,2019-02-19 16:03:40.142312
2019-02-19 16:03:40.620976,2019-02-19 16:03:40.871333
2019-02-19 16:03:41.350332,2019-02-19 16:03:41.602741
2019-02-19 16:03:42.085054,2019-02-19 16:03:42.337077
2019-02-19 16:03:42.826686,2019-02-19 16:03:43.079092
2019-02-19 16:03:43.562533,2019-02-19 16:03:43.818043
2019-02-19 16:03:44.302934,2019-02-19 16:03:44.557689
2019-02-19 16:03:45.037388,2019-02-19 16:03:45.291348
2019-02-19 16:03:45.769987,2019-02-19 16:03:46.019768
2019-02-19 16:03:46.507080,2019-02-19 16:03:46.755606
2019-02-19 16:03:47.231115,2019-02-19 16:03:47.479548
2019-02-19 16:03:47.958638,2019-02-19 16:03:48.211089
2019-02-19 16:03:48.690848,2019-02-19 16:03:48.947253
2019-02-19 16:03:49.417366,2019-02-19 16:03:49.671281
2019-02-19 16:03:50.149752,2019-02-19 16:03:50.399930
2019-02-19 16:03:50.889282,2019-02-19 16:03:51.141741
